word,index
<PAD>,0
are,1
there,2
more,3
big,4
green,5
things,6
than,7
large,8
purple,9
shiny,10
cubes,11
how,12
many,13
other,14
of,15
the,16
same,17
shape,18
as,19
tiny,20
cyan,21
matte,22
object,23
is,24
color,25
sphere,26
cube,27
what,28
material,29
that,30
right,31
brown,32
cylinder,33
and,34
left,35
gray,36
on,37
side,38
small,39
rubber,40
behind,41
thing,42
to,43
metallic,44
size,45
any,46
have,47
block,48
blue,49
yellow,50
a,51
it,52
ball,53
its,54
in,55
front,56
does,57
number,58
red,59
spheres,60
made,61
metal,62
cylinders,63
both,64
balls,65
or,66
blocks,67
objects,68
visible,69
another,70
has,71
greater,72
fewer,73
less,74
either,75
anything,76
else,77
do,78
an,79
equal,80
