word,index
pipe,0
wall,1
white,2
no,3
yes,4
top,5
silver,6
black,7
right,8
man,9
left,10
large,11
chair,12
red,13
bus,14
sweater,15
lady,16
green,17
cow,18
herd,19
outdoors,20
sheep,21
end table,22
bottom,23
train,24
carrots,25
on,26
car,27
coat,28
blond,29
snow,30
bag,31
jacket,32
bench,33
girl,34
truck,35
donut,36
long,37
elephant,38
child,39
closed,40
bicycle,41
concrete,42
blue,43
seat,44
horse,45
gray,46
glass,47
controller,48
color,49
monitor,50
candle,51
small,52
zebras,53
locomotive,54
table,55
jeans,56
plate,57
glasses,58
metal,59
phone,60
full,61
round,62
sword,63
vase,64
tall,65
bedroom,66
thin,67
shelf,68
fence,69
trees,70
field,71
balcony,72
wood,73
people,74
clear,75
stop sign,76
mannequin,77
window,78
backpack,79
indoors,80
checkered,81
dish,82
dark,83
brown,84
helmet,85
shirt,86
road,87
low,88
building,89
chairs,90
children,91
bushes,92
hill,93
dog,94
basket,95
soup,96
zebra,97
smooth,98
down,99
cucumber,100
lamb,101
cell phone,102
van,103
kettle,104
boy,105
open,106
door,107
curtain,108
hat,109
mirror,110
standing,111
cabinet,112
snowboard,113
frisbee,114
closet,115
light,116
walking,117
bed,118
pear,119
boat,120
bun,121
camera,122
woman,123
light brown,124
skiing,125
calm,126
egg,127
overcast,128
picture,129
cheese,130
screen,131
yellow,132
pepper,133
motorcycle,134
purple,135
computer,136
ice cream,137
airplane,138
sandwich,139
lake,140
laptop,141
sidewalk,142
cars,143
fake,144
cake,145
plants,146
desk,147
cloudless,148
mountain,149
square,150
tablet,151
couch,152
counter,153
plastic,154
pink,155
bathroom,156
player,157
orange,158
taxi,159
kitchen,160
fireplace,161
waiting,162
batter,163
mushrooms,164
rubber,165
wine,166
cup,167
books,168
refrigerator,169
fork,170
off,171
stove,172
cutting board,173
banana,174
baby,175
bat,176
shorts,177
pants,178
sitting,179
broccoli,180
wooden,181
bananas,182
light blue,183
wet,184
street sign,185
plant,186
dry,187
cat,188
squash,189
lying,190
bagel,191
sour cream,192
dishwasher,193
bike,194
paved,195
office,196
wires,197
swimming pool,198
pole,199
american flag,200
container,201
bookshelf,202
little,203
pavement,204
trains,205
pickles,206
computer mouse,207
corn,208
skateboarder,209
coke,210
new,211
giraffe,212
front,213
bird,214
meat,215
dress,216
happy,217
match,218
television,219
pepperoni,220
cloudy,221
avocados,222
beach,223
shoe,224
cauliflower,225
basil,226
pizza,227
carrot,228
cardboard,229
box,230
material,231
cabinets,232
hot dog,233
drawer,234
triangular,235
cows,236
striped,237
beige,238
grapes,239
hamburger,240
lamp,241
lettuce,242
grass,243
guy,244
tie,245
ground,246
tan,247
clean,248
street,249
glove,250
donuts,251
sandwiches,252
curly,253
octopus,254
noodles,255
khaki,256
pineapple,257
peas,258
bread,259
calf,260
steamed,261
skateboard,262
gold,263
dark blue,264
tennis ball,265
store,266
letters,267
salad,268
sign,269
empty,270
kitten,271
short,272
jumping,273
sofa,274
palm trees,275
bear,276
swan,277
straw,278
stuffed bear,279
shampoo bottle,280
shower,281
keyboard,282
horses,283
skier,284
male,285
cupboard,286
jockey,287
mixer,288
catcher,289
ocean,290
steak,291
ski,292
water,293
farm,294
baseball bat,295
mangoes,296
brushing teeth,297
tomato,298
cooked,299
outfit,300
skinny,301
beer,302
symbol,303
old,304
pot,305
potato,306
path,307
burrito,308
oven,309
lemon,310
machine,311
kiwi,312
flowers,313
tofu,314
bowl,315
baking sheet,316
staring,317
stadium,318
tables,319
onion,320
wire,321
dirty,322
stick,323
ball,324
carriage,325
sheets,326
bacon,327
beef,328
swimsuit,329
waffle,330
broth,331
heater,332
napkin,333
eye glasses,334
behind,335
kite,336
parking meter,337
playing,338
spatula,339
metallic,340
train car,341
dessert,342
opaque,343
guitar,344
iron,345
rectangular,346
rocks,347
baseball,348
pan,349
sky,350
olive,351
dvd player,352
blanket,353
fries,354
bottle,355
lid,356
coffee table,357
modern,358
bracelet,359
microwave,360
pillows,361
garnish,362
sauce,363
clock,364
curtains,365
radiator,366
beans,367
vegetables,368
cap,369
suv,370
snowboarding,371
house,372
air conditioner,373
uniform,374
sticky notes,375
potatoes,376
park,377
cooking,378
wii controller,379
surfing,380
t-shirt,381
boats,382
fresh,383
racket,384
polo shirt,385
suits,386
leather,387
airport,388
young,389
ropes,390
logo,391
umbrella,392
home plate,393
game,394
tree,395
rice,396
drawers,397
garage,398
cord,399
river,400
office chair,401
mountains,402
skate park,403
grilled,404
onions,405
pita,406
train station,407
rhino,408
eating,409
chicken,410
microphone,411
cactus,412
driving,413
letter,414
melon,415
tomatoes,416
toddler,417
cream colored,418
printer,419
gas station,420
speaker,421
croissant,422
knife,423
platter,424
thick,425
asparagus,426
wii,427
sand,428
rock,429
leaves,430
wicker,431
long sleeved,432
pasta,433
tank top,434
antique,435
umpire,436
dresser,437
flags,438
cream cheese,439
computer monitor,440
ladder,441
harbor,442
logs,443
jersey,444
floor,445
surfboard,446
pineapples,447
chocolate,448
talking,449
hotel room,450
apple,451
pillow,452
church,453
teddy bear,454
bull,455
sink,456
hose,457
tinted,458
antelope,459
ceiling,460
high,461
maroon,462
toilet,463
donkey,464
painting,465
clouds,466
ship,467
berries,468
pond,469
fire truck,470
gentleman,471
planter,472
fire hydrant,473
snowy,474
sausage,475
fat,476
headband,477
nightstand,478
unpaved,479
bare,480
watch,481
doll,482
teal,483
chrome,484
runway,485
healthy,486
cookie,487
riding,488
milk,489
tent,490
stainless steel,491
jet,492
number,493
cereal,494
daughter,495
liquid,496
skis,497
paper,498
shoes,499
fur,500
purse,501
tennis,502
wagon,503
market,504
book,505
female,506
mat,507
monkey,508
beach chair,509
men,510
seagull,511
pigeon,512
asian,513
sticker,514
dirt,515
colorful,516
flower,517
above,518
zucchini,519
parking lot,520
cereal box,521
heels,522
trailer,523
shelves,524
crackers,525
oranges,526
blender,527
bending,528
duck,529
tiny,530
mug,531
bookcase,532
skirt,533
remote control,534
forest,535
cookies,536
collar,537
women,538
donkeys,539
octagonal,540
puppy,541
sleeping,542
huge,543
utensils,544
gun,545
bikes,546
meal,547
running,548
apples,549
router,550
brass,551
desserts,552
game controller,553
soda,554
grassy,555
piano,556
cooker,557
flag,558
brick,559
dispenser,560
bears,561
skateboarding,562
boot,563
cheetah,564
sailboat,565
buoy,566
choppy,567
rubber duck,568
paper towel,569
stuffed animal,570
outlet,571
dotted,572
wide,573
railroad,574
hardwood,575
city,576
posing,577
roof,578
penguin,579
poster,580
zoo,581
safety jacket,582
buildings,583
sandy,584
school bus,585
rocky,586
tiles,587
nike,588
picnic table,589
coffee maker,590
shape,591
tangerine,592
herbs,593
windows,594
soldier,595
words,596
statue,597
artichoke,598
restaurant,599
speakers,600
toaster,601
whisk,602
drinking,603
trunk,604
adult,605
juice,606
suitcase,607
muffins,608
coffee,609
earring,610
rope,611
living room,612
utensil,613
frame,614
air,615
tree branch,616
pretzel,617
butterfly,618
stone,619
mushroom,620
towel,621
post,622
granite,623
mashed potatoes,624
ham,625
shop,626
dumpster,627
watermelons,628
suit,629
bagels,630
avocado,631
birds,632
bleachers,633
countertop,634
helicopter,635
controllers,636
museum,637
cart,638
pumpkin,639
cigarette,640
smoke,641
magazine,642
turkey,643
station,644
hotdog bun,645
robe,646
toppings,647
tag,648
looking up,649
porcelain,650
jeep,651
ceramic,652
mature,653
rug,654
tape,655
dark brown,656
entertainment center,657
toothbrush,658
peppers,659
hills,660
boxes,661
whipped cream,662
potato chips,663
water bottle,664
giraffes,665
narrow,666
roll,667
stuffed animals,668
buses,669
crouching,670
peach,671
ipod,672
tower,673
partly cloudy,674
casserole,675
ripe,676
train tracks,677
toast,678
spinach,679
ambulance,680
chain,681
eggs,682
cheeseburger,683
papers,684
flamingo,685
sugar,686
cabbage,687
gas stove,688
rough,689
spoon,690
lemons,691
fruits,692
sheet,693
pitcher,694
sushi,695
tuna,696
vest,697
newspaper,698
chef,699
alarm clock,700
handbag,701
spectators,702
wetsuit,703
tea kettle,704
gate,705
grape,706
shrimp,707
icing,708
ketchup,709
power line,710
apron,711
paddle,712
spectator,713
napkins,714
minivan,715
looking down,716
sad,717
unpeeled,718
tablecloth,719
still,720
place,721
vests,722
officers,723
wavy,724
strawberry,725
saucer,726
buns,727
beautiful,728
rolling pin,729
drawing,730
scissors,731
skating,732
dried,733
cafeteria,734
pastry,735
projector,736
pancake,737
liquor,738
display,739
tray,740
toy,741
murky,742
chickens,743
cupcake,744
goat,745
resting,746
aluminum,747
yard,748
potted,749
short sleeved,750
cage,751
bug,752
burger,753
stickers,754
soft,755
deep,756
curled,757
alligator,758
sunny,759
skater,760
dogs,761
black and white,762
radio,763
luggage,764
elephants,765
pine trees,766
wine glass,767
foggy,768
surfer,769
salon,770
snow flakes,771
clock tower,772
watermelon,773
graffiti,774
pizza slice,775
placemat,776
sweet potatoes,777
canoe,778
couple,779
can,780
bush,781
tv stand,782
laptops,783
photographer,784
cabin,785
toaster oven,786
scarf,787
washing machine,788
traffic sign,789
candles,790
brownie,791
traffic light,792
remote controls,793
lamps,794
cherry,795
styrofoam,796
sneakers,797
goggles,798
passenger,799
paint,800
log,801
garland,802
swimming,803
pudding,804
leafless,805
arrow,806
dinosaur,807
vacuum,808
roses,809
polar bear,810
palm tree,811
platform,812
blazer,813
beds,814
stroller,815
ice maker,816
tractor,817
gloves,818
bronze,819
stage,820
raisin,821
macaroni,822
passengers,823
meadow,824
asphalt,825
trucks,826
cracker,827
cupcakes,828
officer,829
crowd,830
ring,831
soda can,832
pen,833
ostrich,834
hallway,835
heavy,836
sleeveless,837
crystal,838
lawn,839
vanilla,840
shopping cart,841
sock,842
giant,843
cloth,844
coleslaw,845
celery,846
eggplant,847
bandana,848
toothpaste,849
coffee pot,850
players,851
pears,852
video game,853
armchair,854
snow pants,855
face mask,856
parrot,857
ottoman,858
mouse pad,859
sweatshirt,860
mozzarella,861
carpet,862
guacamole,863
lemonade,864
highway,865
trash can,866
steps,867
headphones,868
muffin,869
silverware,870
fruit,871
pointing,872
jumpsuit,873
leafy,874
mother,875
hillside,876
weeds,877
raw,878
onion rings,879
wok,880
bus stop,881
girls,882
denim,883
smoothie,884
desert,885
eagle,886
envelope,887
sweet potato,888
tea,889
almonds,890
blueberry,891
berry,892
vegetable,893
bus driver,894
drum,895
dome,896
ducks,897
reading,898
desktop computer,899
covered,900
cats,901
cone,902
cowboy,903
menu,904
deer,905
computer desk,906
mustard,907
parsley,908
courtyard,909
steel,910
boots,911
performer,912
bottles,913
pine tree,914
up,915
shopping bag,916
seal,917
brunette,918
flower pot,919
dress shirt,920
blouse,921
baskets,922
biker,923
performing trick,924
candy,925
gadget,926
butter,927
restroom,928
snack,929
doorway,930
curved,931
shirts,932
pastries,933
pomegranate,934
peaches,935
father,936
lace,937
trash bag,938
cupboards,939
bricks,940
socks,941
pans,942
cable,943
numbers,944
lego,945
coffee cup,946
coffee mug,947
unripe,948
